aggregated_bs_id,type,n_base_stations,lng,lat
1,LTE,1,9.0149688720703,45.361862182617
2,UMTS,1,9.0204620361328,45.35774230957
3,AGGREGATED,3,9.021926666666667,45.358017
4,UMTS,1,9.024684,45.357889
5,UMTS,1,9.025955,45.359573
6,UMTS,1,9.034195,45.361176
7,UMTS,1,9.045321,45.359941
8,UMTS,1,9.0479278564453,45.359115600586
9,LTE,1,9.060212,45.361147
10,AGGREGATED,2,9.063813,45.357342
10,UMTS,1,9.063813,45.357342
11,UMTS,1,9.071274,45.366669
12,UMTS,1,9.105675,45.362068
13,UMTS,1,9.113159,45.357056
14,AGGREGATED,8,9.114651742675775,45.357690077392505
15,UMTS,1,9.116672,45.357056
16,AGGREGATED,3,9.1210601904297,45.35732276985667
17,UMTS,1,9.123802,45.357468
18,UMTS,1,9.127646,45.357407
19,UMTS,1,9.13536,45.357285
20,UMTS,1,9.144937,45.356733
21,UMTS,1,9.149173,45.358021
22,UMTS,1,9.15077,45.356877
23,UMTS,1,9.153038,45.358949
24,AGGREGATED,6,9.156826782226569,45.35731310319
25,AGGREGATED,4,9.16029617993165,45.3576910773925
26,AGGREGATED,2,9.1632841508789,45.357399154785
27,UMTS,1,9.1646575927734,45.359115600586
28,UMTS,1,9.180329,45.361135
29,UMTS,1,9.1838836669922,45.361862182617
30,UMTS,1,9.190753,45.360833
31,UMTS,1,9.197342,45.359116
32,LTE,1,9.1976165771484,45.359115600586
33,UMTS,1,9.20154,45.358037
34,UMTS,1,9.2086029052734,45.359115600586
35,UMTS,1,9.2127227783203,45.35774230957
36,UMTS,1,9.217529,45.360489
37,LTE,1,9.2209625244141,45.359115600586
38,UMTS,1,9.223959,45.357742
39,UMTS,1,9.228811,45.357742
40,AGGREGATED,4,9.23261649902345,45.357318404785005
41,UMTS,1,9.234009,45.357056
42,AGGREGATED,3,9.237089672200533,45.35711943652333
43,UMTS,1,9.2374420166016,45.35774230957
44,LTE,1,9.244264,45.360135
45,LTE,1,9.251534,45.356834
46,AGGREGATED,3,9.252210145182266,45.35743953971333
47,LTE,1,9.253469,45.359117
48,LTE,1,9.258728,45.359802
49,UMTS,1,9.274436,45.358934
50,UMTS,1,9.281566,45.356907
51,UMTS,1,9.291048,45.357932
52,UMTS,1,9.296837,45.358086
53,AGGREGATED,3,9.297819,45.35826033333333
54,AGGREGATED,6,9.301285916829418,45.35712822444666
55,AGGREGATED,3,9.3041410921224,45.35679900618501
56,AGGREGATED,2,9.3065439291992,45.3565745092775
57,UMTS,1,9.3088531494141,45.35774230957
58,LTE,1,9.021286,45.358292
59,AGGREGATED,2,9.0256805,45.3601685
60,UMTS,1,9.0534210205078,45.363235473633
61,UMTS,1,9.112929,45.359574
62,AGGREGATED,3,9.114927705403634,45.35946796386734
63,AGGREGATED,5,9.11712336289064,45.3604931566408
64,LTE,1,9.120521,45.361607
65,UMTS,1,9.123361,45.360195
66,LTE,1,9.134216,45.360489
67,UMTS,1,9.141769,45.362778
