aggregated_bs_id,type,n_base_stations,lng,lat
1,LTE,1,9.0149688720703,45.361862182617
2,LTE,1,9.021286,45.358292
3,LTE,1,9.060212,45.361147
4,LTE,1,9.064404,45.364611
5,LTE,1,9.1056060791016,45.370101928711
6,LTE,1,9.114986,45.358309
7,LTE,1,9.120521,45.361607
8,LTE,1,9.134216,45.360489
9,LTE,1,9.156019,45.358806
10,AGGREGATED,3,9.156994666666668,45.357011
11,LTE,1,9.161474,45.357718
12,LTE,1,9.1619110107422,45.359115600586
13,LTE,1,9.186635,45.368043
14,LTE,1,9.1976165771484,45.359115600586
15,LTE,1,9.2209625244141,45.359115600586
16,LTE,1,9.2319488525391,45.359115600586
17,LTE,1,9.239578,45.361176
18,LTE,1,9.244264,45.360135
19,LTE,1,9.251534,45.356834
20,LTE,1,9.253469,45.359117
21,LTE,1,9.258728,45.359802
22,LTE,1,9.275356,45.364771
23,LTE,1,9.2882537841797,45.364608764648
24,LTE,1,9.2951202392578,45.360488891602
25,LTE,1,9.297201,45.358356
26,AGGREGATED,2,9.29831,45.3583475
27,AGGREGATED,3,9.301500666666668,45.35742966666667
28,LTE,1,9.302156,45.357339
29,LTE,1,9.3074798583984,45.356369018555
30,LTE,1,9.117056,45.360799
31,LTE,1,9.155045,45.361274
32,AGGREGATED,4,9.157078534423825,45.359120400146494
33,LTE,1,9.159166,45.360489
34,LTE,1,9.2031097412109,45.364608764648
35,LTE,1,9.208603,45.365868
36,LTE,1,9.2305755615234,45.360488891602
37,AGGREGATED,2,9.23126220703125,45.359802246094006
38,LTE,1,9.280471,45.365524
39,LTE,1,9.298328,45.359336
40,LTE,1,9.300094,45.359332
41,LTE,1,9.017258,45.363693
42,LTE,1,9.0328216552734,45.374221801758
43,LTE,1,9.117206,45.360991
44,LTE,1,9.123908,45.365381
45,LTE,1,9.154392,45.364386
46,LTE,1,9.156595,45.361179
47,LTE,1,9.159677,45.361452
48,LTE,1,9.216156,45.365639
49,LTE,1,9.2552947998047,45.363235473633
50,LTE,1,9.29257,45.363824
51,AGGREGATED,2,9.295932,45.361528500000006
52,LTE,1,9.295853,45.361862
53,LTE,1,9.3019866943359,45.364608764648
54,LTE,1,9.308091,45.36644
55,LTE,1,9.0438079833984,45.375595092773
56,LTE,1,9.119053,45.36312
57,AGGREGATED,2,9.1205481401367,45.364608882324
58,LTE,1,9.132571,45.365392
59,LTE,1,9.1344451904297,45.365982055664
60,LTE,1,9.13707,45.368134
61,LTE,1,9.152125,45.367871
62,AGGREGATED,2,9.1546145,45.364295
63,LTE,1,9.154837,45.364204
64,LTE,1,9.1591644287109,45.363235473633
65,LTE,1,9.163342,45.36755
66,LTE,1,9.200638,45.366257
67,AGGREGATED,2,9.2278289794922,45.368728637695
67,LTE,1,9.2278289794922,45.368728637695
68,AGGREGATED,2,9.2927295,45.3641305
69,LTE,1,9.29579,45.364036
70,LTE,1,9.297378,45.363631
71,LTE,1,9.120384,45.364609
72,LTE,1,9.1207122802734,45.364608764648
73,LTE,1,9.1262054443359,45.36735534668
74,LTE,1,9.129866,45.367814
75,AGGREGATED,2,9.13350809521485,45.365687027832
76,LTE,1,9.144673,45.371209
77,LTE,1,9.154432,45.365527
78,LTE,1,9.157822,45.367771
79,LTE,1,9.1674041748047,45.371475219727
80,LTE,1,9.214439,45.367584
81,LTE,1,9.2346954345703,45.370101928711
82,LTE,1,9.242248,45.371669
83,AGGREGATED,2,9.28024251904295,45.365753027832
84,LTE,1,9.292889,45.364437
85,LTE,1,9.088211,45.380799
86,LTE,1,9.123182,45.367459
87,AGGREGATED,3,9.136235654296868,45.368072661458335
88,LTE,1,9.18148,45.373192
89,LTE,1,9.1852569580078,45.370101928711
90,LTE,1,9.198197,45.370139
91,LTE,1,9.211138,45.368993
92,LTE,1,9.2456817626953,45.372848510742
93,LTE,1,9.255964,45.373247
94,LTE,1,9.2800140380859,45.365982055664
95,LTE,1,9.281746,45.369893
96,LTE,1,9.286565,45.369064
97,AGGREGATED,3,9.288371189453132,45.36851775846333
98,LTE,1,9.288606,45.368096
99,LTE,1,9.309747,45.368217
100,LTE,1,9.1248321533203,45.370101928711
101,AGGREGATED,2,9.12509357666015,45.36997546435551
102,LTE,1,9.125355,45.369849
103,LTE,1,9.132148,45.370728
104,LTE,1,9.1358184814453,45.368728637695
105,LTE,1,9.13947,45.372338
106,LTE,1,9.152123,45.371861
107,LTE,1,9.1550445556641,45.372848510742
108,LTE,1,9.2072296142578,45.372848510742
109,LTE,1,9.2140960693359,45.370101928711
110,LTE,1,9.217491,45.373389
111,LTE,1,9.2278289794922,45.370101928711
112,LTE,1,9.276334,45.374661
113,AGGREGATED,3,9.286065400716131,45.369539976237
114,LTE,1,9.2882537841797,45.368728637695
115,LTE,1,9.299698,45.373154
116,LTE,1,9.309282,45.371046
117,AGGREGATED,2,9.309983,45.3700245
118,LTE,1,9.106705,45.375595
119,LTE,1,9.127557,45.372827
120,AGGREGATED,2,9.1279605,45.372910000000005
121,LTE,1,9.129415,45.372827
122,LTE,1,9.1358184814453,45.374221801758
123,AGGREGATED,2,9.1395895,45.3728425
