type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
LTE,9.0149688720703,45.361862182617,1,0.46949251809060594,1,1
UMTS,9.0204620361328,45.35774230957,2,0.37349452013791357,1,2
UMTS,9.0204620361328,45.35774230957,3,0.0,1,2
AGGREGATED,9.021926666666667,45.358017,4,0.0,3,3
UMTS,9.024684,45.357889,5,0.0,1,4
UMTS,9.025955,45.359573,6,0.22563998867681923,1,5
UMTS,9.025955,45.359573,7,0.41178888397377333,1,5
UMTS,9.034195,45.361176,8,0.36075917250207656,1,6
UMTS,9.034195,45.361176,9,0.40843148592201395,1,6
UMTS,9.045321,45.359941,10,0.4922631367750267,1,7
UMTS,9.045321,45.359941,11,0.30202747120442874,1,7
UMTS,9.0479278564453,45.359115600586,12,0.21753688196166035,1,8
UMTS,9.0479278564453,45.359115600586,13,0.14328979780466708,1,8
UMTS,9.0479278564453,45.359115600586,14,0.3219611752134651,1,8
UMTS,9.0479278564453,45.359115600586,15,0.5447048595835908,1,8
LTE,9.060212,45.361147,16,0.4070450019360769,1,9
UMTS,9.063813,45.357342,17,0.2523470234580938,1,10
AGGREGATED,9.063813,45.357342,18,0.0,2,10
UMTS,9.063813,45.357342,19,0.23491347774168303,1,10
UMTS,9.063813,45.357342,20,0.46455675353893594,1,10
UMTS,9.063813,45.357342,21,0.6973943756542546,1,10
UMTS,9.063813,45.357342,22,0.931032837737951,1,10
UMTS,9.071274,45.366669,23,1.1318729624336754,1,11
UMTS,9.071274,45.366669,24,1.2682803045821094,1,11
UMTS,9.071274,45.366669,25,1.4303324033142988,1,11
UMTS,9.105675,45.362068,26,1.4780708154680566,1,12
UMTS,9.105675,45.362068,27,1.2575639755362382,1,12
UMTS,9.105675,45.362068,28,1.04314825243956,1,12
UMTS,9.105675,45.362068,29,0.8395038383360722,1,12
UMTS,9.105675,45.362068,30,0.6567285535532832,1,12
UMTS,9.105675,45.362068,31,0.5174315006227732,1,12
UMTS,9.105675,45.362068,32,0.462704629542391,1,12
UMTS,9.113159,45.357056,33,0.36066669266519485,1,13
UMTS,9.113159,45.357056,34,0.0,1,13
AGGREGATED,9.114651742675775,45.357690077392505,35,0.0,8,14
UMTS,9.116672,45.357056,36,0.0,1,15
AGGREGATED,9.1210601904297,45.35732276985667,37,0.0,3,16
UMTS,9.123802,45.357468,38,0.0,1,17
UMTS,9.127646,45.357407,39,0.0,1,18
UMTS,9.127646,45.357407,40,0.16942664472960084,1,18
UMTS,9.13536,45.357285,41,0.21757203561352523,1,19
UMTS,9.13536,45.357285,42,0.0,1,19
UMTS,9.13536,45.357285,43,0.2695592964560674,1,19
UMTS,9.144937,45.356733,44,0.28210774098173186,1,20
UMTS,9.144937,45.356733,45,0.0,1,20
UMTS,9.149173,45.358021,46,0.0,1,21
UMTS,9.15077,45.356877,47,0.0,1,22
UMTS,9.153038,45.358949,48,0.13274730125230166,1,23
AGGREGATED,9.156826782226567,45.35731310319,49,0.0,6,24
AGGREGATED,9.16029617993165,45.3576910773925,50,0.0,4,25
AGGREGATED,9.163284150878901,45.357399154785,51,0.0,2,26
UMTS,9.1646575927734,45.359115600586,52,0.1644134786387202,1,27
UMTS,9.1646575927734,45.359115600586,53,0.347437307663152,1,27
UMTS,9.1646575927734,45.359115600586,54,0.5694826567177144,1,27
UMTS,9.180329,45.361135,55,0.5729783565375409,1,28
UMTS,9.180329,45.361135,56,0.4217531219810019,1,28
UMTS,9.180329,45.361135,57,0.3706266291542293,1,28
UMTS,9.1838836669922,45.361862182617,58,0.4510001402613263,1,29
UMTS,9.190753,45.360833,59,0.4616472503144044,1,30
