type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
LTE,9.0149688720703,45.361862182617,1,0.46949251809060594,1,1
LTE,9.0149688720703,45.361862182617,2,0.4381469677628564,1,1
LTE,9.021286,45.358292,3,0.20614324219869512,1,2
LTE,9.021286,45.358292,4,0.0,1,2
LTE,9.021286,45.358292,5,0.26882577595751156,1,2
LTE,9.021286,45.358292,6,0.5020254038383578,1,2
LTE,9.021286,45.358292,7,0.7360088953999854,1,2
LTE,9.021286,45.358292,8,0.9702092852275407,1,2
LTE,9.021286,45.358292,9,1.2045000580763838,1,2
LTE,9.021286,45.358292,10,1.4388370604464111,1,2
LTE,9.060212,45.361147,11,1.4141115328810483,1,3
LTE,9.060212,45.361147,12,1.1887268405228901,1,3
LTE,9.060212,45.361147,13,0.9676512623886274,1,3
LTE,9.060212,45.361147,14,0.7546812663381103,1,3
LTE,9.060212,45.361147,15,0.5591565424219723,1,3
LTE,9.060212,45.361147,16,0.4070450019360769,1,3
LTE,9.060212,45.361147,17,0.3586538577216732,1,3
LTE,9.060212,45.361147,18,0.44888405898010647,1,3
LTE,9.060212,45.361147,19,0.6199020491630651,1,3
LTE,9.060212,45.361147,20,0.8227864463073153,1,3
LTE,9.064404,45.364611,21,0.9856269699224071,1,4
LTE,9.064404,45.364611,22,1.1535063583002798,1,4
LTE,9.064404,45.364611,23,1.3414956731212555,1,4
LTE,9.064404,45.364611,24,1.542258629052452,1,4
LTE,9.064404,45.364611,25,1.751408010619539,1,4
LTE,9.1056060791016,45.370101928711,26,1.9470549064574136,1,5
LTE,9.1056060791016,45.370101928711,27,1.7863012505738398,1,5
LTE,9.1056060791016,45.370101928711,28,1.643362061189263,1,5
LTE,9.114986,45.358309,29,1.4292662217794478,1,6
LTE,9.114986,45.358309,30,1.1949771471167245,1,6
LTE,9.114986,45.358309,31,0.9607580804030793,1,6
LTE,9.114986,45.358309,32,0.7266767088804374,1,6
LTE,9.114986,45.358309,33,0.4929292218672937,1,6
LTE,9.114986,45.358309,34,0.2604162230457539,1,6
LTE,9.114986,45.358309,35,0.0,1,6
LTE,9.114986,45.358309,36,0.21735447104348665,1,6
LTE,9.120521,45.361607,37,0.41334227241849675,1,7
LTE,9.120521,45.361607,38,0.4825422000399435,1,7
LTE,9.120521,45.361607,39,0.636206943258322,1,7
LTE,9.134216,45.360489,40,0.45626688861244846,1,8
LTE,9.134216,45.360489,41,0.3132977460659102,1,8
LTE,9.134216,45.360489,42,0.3131271398839459,1,8
LTE,9.134216,45.360489,43,0.4559153846239279,1,8
LTE,9.134216,45.360489,44,0.6539007217319561,1,8
LTE,9.134216,45.360489,45,0.8701899405015089,1,8
LTE,9.156019,45.358806,46,0.657781980575941,1,9
LTE,9.156019,45.358806,47,0.42811887770442575,1,9
LTE,9.156019,45.358806,48,0.2093118543626951,1,9
AGGREGATED,9.156994666666668,45.357011,49,0.0,3,10
LTE,9.161474,45.357718,50,0.0,1,11
LTE,9.161474,45.357718,51,0.09755696440439016,1,11
LTE,9.1619110107422,45.359115600586,52,0.3292499026939654,1,12
LTE,9.1619110107422,45.359115600586,53,0.5501845324129768,1,12
LTE,9.1619110107422,45.359115600586,54,0.779049071692042,1,12
LTE,9.1619110107422,45.359115600586,55,1.0104695849221657,1,12
LTE,9.1619110107422,45.359115600586,56,1.2430192964706477,1,12
LTE,9.186635,45.368043,57,1.2280446506435623,1,13
LTE,9.1976165771484,45.359115600586,58,1.0960104009980844,1,14
LTE,9.1976165771484,45.359115600586,59,0.8643045898779275,1,14
LTE,9.1976165771484,45.359115600586,60,0.6346045317784238,1,14
LTE,9.1976165771484,45.359115600586,61,0.41029286461473397,1,14
LTE,9.1976165771484,45.359115600586,62,0.2094620852135799,1,14
LTE,9.1976165771484,45.359115600586,63,0.17124623903897174,1,14
LTE,9.1976165771484,45.359115600586,64,0.3531188657634776,1,14
LTE,9.1976165771484,45.359115600586,65,0.5744365172454732,1,14
LTE,9.1976165771484,45.359115600586,66,0.8032299677177942,1,14
LTE,9.2209625244141,45.359115600586,67,0.8146001701538861,1,15
LTE,9.2209625244141,45.359115600586,68,0.5859766756230992,1,15
LTE,9.2209625244141,45.359115600586,69,0.36480209560963855,1,15
LTE,9.2209625244141,45.359115600586,70,0.18085662679124728,1,15
LTE,9.2209625244141,45.359115600586,71,0.20555846793554539,1,15
